1646508273 1857916052 {'positive': 1, 'negative': 0, 'total': 2}
1648623305 1220291284 {'positive': 0, 'negative': 1, 'total': 22}
1808044502 1220291284 {'positive': 1, 'negative': 0, 'total': 7}
1648642294 1220291284 {'positive': 1, 'negative': 0, 'total': 23}
1808063282 1220291284 {'positive': 1, 'negative': 0, 'total': 8}
1648672205 1220291284 {'positive': 1, 'negative': 0, 'total': 27}
1648713775 1220291284 {'positive': 1, 'negative': 0, 'total': 27}
1808798322 1220291284 {'positive': 1, 'negative': 0, 'total': 29}
1808810614 1220291284 {'positive': 0, 'negative': 1, 'total': 2}
1808823354 1220291284 {'positive': 1, 'negative': 0, 'total': 31}
1648762325 1220291284 {'positive': 1, 'negative': 0, 'total': 13}
1648578525 1220291284 {'positive': 1, 'negative': 0, 'total': 11}
1808008475 1220291284 {'positive': 1, 'negative': 0, 'total': 21}
1807423785 1220291284 {'positive': 1, 'negative': 0, 'total': 8}
1807972384 1220291284 {'positive': 0, 'negative': 1, 'total': 12}
1808023582 1220291284 {'positive': 1, 'negative': 0, 'total': 33}
1648733862 1220291284 {'positive': 0, 'negative': 1, 'total': 33}
1807985062 1220291284 {'positive': 1, 'negative': 0, 'total': 3}
1648418335 1220291284 {'positive': 0, 'negative': 1, 'total': 36}
1807975964 1220291284 {'positive': 1, 'negative': 0, 'total': 9}
1648626893 1220291284 {'positive': 1, 'negative': 0, 'total': 13}
1648495155 1220291284 {'positive': 1, 'negative': 0, 'total': 19}
1654676623 1220291284 {'positive': 2, 'negative': 0, 'total': 316}
1654717777 1220291284 {'positive': 6, 'negative': 1, 'total': 112}
1654881415 1220291284 {'positive': 3, 'negative': 1, 'total': 130}
1819007023 1220291284 {'positive': 0, 'negative': 1, 'total': 17}
1819035447 1220291284 {'positive': 3, 'negative': 1, 'total': 49}
1654734175 1220291284 {'positive': 1, 'negative': 3, 'total': 58}
1654780317 1220291284 {'positive': 1, 'negative': 0, 'total': 45}
1819955390 1220291284 {'positive': 1, 'negative': 1, 'total': 88}
1819067695 1220291284 {'positive': 0, 'negative': 1, 'total': 35}
1819935634 1220291284 {'positive': 1, 'negative': 0, 'total': 55}
1656257765 1220291284 {'positive': 1, 'negative': 0, 'total': 26}
1819894443 1220291284 {'positive': 2, 'negative': 0, 'total': 53}
1654871342 1220291284 {'positive': 1, 'negative': 0, 'total': 99}
1654741464 1220291284 {'positive': 1, 'negative': 0, 'total': 117}
1654765040 1220291284 {'positive': 3, 'negative': 0, 'total': 56}
1654627315 1220291284 {'positive': 1, 'negative': 1, 'total': 21}
1656263662 1220291284 {'positive': 1, 'negative': 0, 'total': 14}
1656268297 1220291284 {'positive': 2, 'negative': 0, 'total': 12}
1654879693 1220291284 {'positive': 1, 'negative': 0, 'total': 89}
1819901271 1220291284 {'positive': 0, 'negative': 1, 'total': 15}
1819025501 1220291284 {'positive': 1, 'negative': 0, 'total': 11}
1654673537 1220291284 {'positive': 0, 'negative': 3, 'total': 89}
1819069385 1220291284 {'positive': 1, 'negative': 0, 'total': 14}
1654736681 1220291284 {'positive': 0, 'negative': 1, 'total': 36}
1654644923 1220291284 {'positive': 2, 'negative': 1, 'total': 33}
1654849555 1220291284 {'positive': 1, 'negative': 1, 'total': 133}
1820021061 1220291284 {'positive': 1, 'negative': 0, 'total': 21}
1820024533 1220291284 {'positive': 1, 'negative': 0, 'total': 74}
1820042555 1220291284 {'positive': 0, 'negative': 1, 'total': 25}
1654853147 1220291284 {'positive': 2, 'negative': 0, 'total': 53}
1819055913 1220291284 {'positive': 1, 'negative': 0, 'total': 24}
1654645794 1220291284 {'positive': 1, 'negative': 0, 'total': 36}
1654675732 1220291284 {'positive': 0, 'negative': 1, 'total': 22}
1654667045 1220291284 {'positive': 5, 'negative': 0, 'total': 126}
1819098255 1220291284 {'positive': 1, 'negative': 0, 'total': 34}
1654676815 1220291284 {'positive': 1, 'negative': 0, 'total': 178}
1819092982 1220291284 {'positive': 1, 'negative': 0, 'total': 44}
1654693175 1220291284 {'positive': 0, 'negative': 2, 'total': 43}
1819115287 1220291284 {'positive': 0, 'negative': 2, 'total': 12}
1654720103 1220291284 {'positive': 2, 'negative': 0, 'total': 84}
1654761110 1220291284 {'positive': 1, 'negative': 0, 'total': 43}
1654777453 1220291284 {'positive': 1, 'negative': 0, 'total': 60}
1654773097 1220291284 {'positive': 2, 'negative': 0, 'total': 50}
1819981995 1220291284 {'positive': 0, 'negative': 1, 'total': 74}
1819981494 1220291284 {'positive': 1, 'negative': 0, 'total': 23}
1819971291 1220291284 {'positive': 0, 'negative': 1, 'total': 79}
1819975811 1220291284 {'positive': 2, 'negative': 1, 'total': 106}
1654799211 1220291284 {'positive': 2, 'negative': 1, 'total': 88}
1819982897 1220291284 {'positive': 2, 'negative': 0, 'total': 81}
1654797581 1220291284 {'positive': 1, 'negative': 0, 'total': 82}
1819989081 1220291284 {'positive': 1, 'negative': 0, 'total': 53}
1654822245 1220291284 {'positive': 0, 'negative': 1, 'total': 85}
1654866085 1220291284 {'positive': 1, 'negative': 0, 'total': 70}
1654872754 1220291284 {'positive': 1, 'negative': 0, 'total': 80}
1820049914 1220291284 {'positive': 1, 'negative': 0, 'total': 52}
1656274530 1220291284 {'positive': 2, 'negative': 0, 'total': 10}
1819924201 1220291284 {'positive': 1, 'negative': 0, 'total': 57}
1820798031 1220291284 {'positive': 1, 'negative': 0, 'total': 30}
1654671683 1220291284 {'positive': 0, 'negative': 1, 'total': 64}
1654773762 1220291284 {'positive': 1, 'negative': 0, 'total': 69}
1654613791 1220291284 {'positive': 0, 'negative': 1, 'total': 10}
1819943590 1220291284 {'positive': 0, 'negative': 2, 'total': 86}
1654770034 1220291284 {'positive': 0, 'negative': 1, 'total': 17}
1819954871 1220291284 {'positive': 1, 'negative': 1, 'total': 78}
1819144004 1220291284 {'positive': 1, 'negative': 0, 'total': 16}
1819891703 1220291284 {'positive': 1, 'negative': 1, 'total': 45}
1820047271 1220291284 {'positive': 1, 'negative': 1, 'total': 79}
1654682904 1220291284 {'positive': 1, 'negative': 0, 'total': 104}
1654764185 1220291284 {'positive': 1, 'negative': 0, 'total': 91}
1819984631 1220291284 {'positive': 1, 'negative': 0, 'total': 87}
1819985622 1220291284 {'positive': 3, 'negative': 0, 'total': 53}
1654784761 1220291284 {'positive': 1, 'negative': 0, 'total': 107}
1654831350 1220291284 {'positive': 1, 'negative': 0, 'total': 34}
1820039981 1220291284 {'positive': 1, 'negative': 0, 'total': 67}
1656261987 1220291284 {'positive': 2, 'negative': 0, 'total': 45}
1654653142 1220291284 {'positive': 1, 'negative': 0, 'total': 44}
1819068407 1220291284 {'positive': 2, 'negative': 0, 'total': 40}
1654686192 1220291284 {'positive': 1, 'negative': 0, 'total': 143}
1654713890 1220291284 {'positive': 1, 'negative': 1, 'total': 101}
1654773857 1220291284 {'positive': 1, 'negative': 0, 'total': 126}
1654750661 1220291284 {'positive': 1, 'negative': 0, 'total': 76}
1819119987 1220291284 {'positive': 1, 'negative': 0, 'total': 6}
1819945431 1220291284 {'positive': 1, 'negative': 0, 'total': 91}
1654884754 1220291284 {'positive': 0, 'negative': 1, 'total': 29}
1654696652 1220291284 {'positive': 1, 'negative': 0, 'total': 57}
1654726847 1220291284 {'positive': 2, 'negative': 0, 'total': 36}
1819929641 1220291284 {'positive': 1, 'negative': 0, 'total': 7}
1820063341 1220291284 {'positive': 2, 'negative': 1, 'total': 36}
1654683853 1220291284 {'positive': 0, 'negative': 1, 'total': 14}
1654658484 1220291284 {'positive': 0, 'negative': 1, 'total': 45}
1819901937 1220291284 {'positive': 1, 'negative': 0, 'total': 60}
1819025681 1220291284 {'positive': 0, 'negative': 1, 'total': 82}
1654838353 1220291284 {'positive': 1, 'negative': 0, 'total': 62}
1654728020 1220291284 {'positive': 0, 'negative': 3, 'total': 71}
1819104665 1220291284 {'positive': 0, 'negative': 1, 'total': 6}
1654710257 1220291284 {'positive': 1, 'negative': 0, 'total': 45}
1654715720 1220291284 {'positive': 0, 'negative': 1, 'total': 85}
1654710041 1220291284 {'positive': 1, 'negative': 1, 'total': 51}
1820801233 1220291284 {'positive': 1, 'negative': 1, 'total': 13}
1819972707 1220291284 {'positive': 0, 'negative': 1, 'total': 55}
1654762133 1220291284 {'positive': 1, 'negative': 0, 'total': 53}
1819917011 1220291284 {'positive': 0, 'negative': 1, 'total': 25}
1654797385 1220291284 {'positive': 0, 'negative': 1, 'total': 64}
1819125741 1220291284 {'positive': 1, 'negative': 1, 'total': 147}
1654815521 1220291284 {'positive': 1, 'negative': 1, 'total': 36}
1819894847 1220291284 {'positive': 1, 'negative': 0, 'total': 54}
1654683274 1220291284 {'positive': 0, 'negative': 1, 'total': 92}
1819953807 1220291284 {'positive': 1, 'negative': 0, 'total': 80}
1819941633 1220291284 {'positive': 1, 'negative': 0, 'total': 150}
1654795904 1220291284 {'positive': 1, 'negative': 1, 'total': 92}
1656272963 1220291284 {'positive': 1, 'negative': 0, 'total': 6}
1654751397 1220291284 {'positive': 0, 'negative': 2, 'total': 41}
1820039743 1220291284 {'positive': 0, 'negative': 1, 'total': 58}
1654631655 1220291284 {'positive': 1, 'negative': 0, 'total': 15}
1819051837 1220291284 {'positive': 1, 'negative': 0, 'total': 109}
1654736305 1220291284 {'positive': 1, 'negative': 0, 'total': 51}
1820019831 1220291284 {'positive': 1, 'negative': 0, 'total': 13}
1654882540 1220291284 {'positive': 1, 'negative': 0, 'total': 43}
1819910085 1220291284 {'positive': 1, 'negative': 0, 'total': 18}
1819929861 1220291284 {'positive': 0, 'negative': 1, 'total': 35}
1654778304 1220291284 {'positive': 1, 'negative': 0, 'total': 62}
1820052645 1220291284 {'positive': 1, 'negative': 0, 'total': 51}
1819947804 1220291284 {'positive': 1, 'negative': 0, 'total': 114}
1820790617 1220291284 {'positive': 1, 'negative': 0, 'total': 44}
1654786522 1220291284 {'positive': 0, 'negative': 1, 'total': 48}
1819992491 1220291284 {'positive': 1, 'negative': 0, 'total': 23}
1656259673 1220291284 {'positive': 1, 'negative': 0, 'total': 45}
1654777503 1220291284 {'positive': 0, 'negative': 1, 'total': 99}
1654793254 1220291284 {'positive': 1, 'negative': 0, 'total': 190}
1654688427 1220291284 {'positive': 1, 'negative': 0, 'total': 78}
1819086833 1220291284 {'positive': 0, 'negative': 1, 'total': 44}
1819972953 1220291284 {'positive': 1, 'negative': 0, 'total': 12}
1654643555 1220291284 {'positive': 1, 'negative': 0, 'total': 18}
1654818332 1220291284 {'positive': 0, 'negative': 1, 'total': 27}
1820060694 1220291284 {'positive': 1, 'negative': 0, 'total': 16}
1819948431 1220291284 {'positive': 0, 'negative': 1, 'total': 27}
1688967821 1220291284 {'positive': 0, 'negative': 1, 'total': 21}
1688962825 1220291284 {'positive': 0, 'negative': 1, 'total': 3}
1690782185 1220291284 {'positive': 1, 'negative': 0, 'total': 72}
1689066070 1220291284 {'positive': 2, 'negative': 0, 'total': 75}
1691060090 1220291284 {'positive': 1, 'negative': 0, 'total': 14}
1690932531 1220291284 {'positive': 1, 'negative': 0, 'total': 31}
1692733872 1220291284 {'positive': 0, 'negative': 1, 'total': 7}
1692756885 1220291284 {'positive': 2, 'negative': 0, 'total': 22}
1689115911 1220291284 {'positive': 0, 'negative': 1, 'total': 13}
1689175195 1220291284 {'positive': 2, 'negative': 0, 'total': 44}
1690686767 1220291284 {'positive': 2, 'negative': 0, 'total': 10}
1689148483 1220291284 {'positive': 1, 'negative': 0, 'total': 25}
1691023860 1220291284 {'positive': 2, 'negative': 0, 'total': 14}
1688986397 1220291284 {'positive': 1, 'negative': 0, 'total': 19}
1689038755 1220291284 {'positive': 1, 'negative': 0, 'total': 22}
1690984187 1220291284 {'positive': 1, 'negative': 0, 'total': 12}
1690676305 1220291284 {'positive': 0, 'negative': 1, 'total': 19}
1689172933 1220291284 {'positive': 0, 'negative': 1, 'total': 23}
1690727434 1220291284 {'positive': 2, 'negative': 0, 'total': 24}
1690832881 1220291284 {'positive': 0, 'negative': 1, 'total': 31}
1689027400 1220291284 {'positive': 1, 'negative': 0, 'total': 17}
1689067881 1220291284 {'positive': 1, 'negative': 0, 'total': 4}
1692755835 1220291284 {'positive': 2, 'negative': 0, 'total': 22}
1688988812 1220291284 {'positive': 1, 'negative': 0, 'total': 13}
1690613612 1220291284 {'positive': 0, 'negative': 1, 'total': 33}
1690674232 1220291284 {'positive': 1, 'negative': 0, 'total': 1}
1690989273 1220291284 {'positive': 0, 'negative': 1, 'total': 9}
1690707935 1220291284 {'positive': 1, 'negative': 0, 'total': 17}
1692769301 1220291284 {'positive': 1, 'negative': 0, 'total': 17}
1692841562 1220291284 {'positive': 1, 'negative': 0, 'total': 3}
1688953782 1220291284 {'positive': 1, 'negative': 0, 'total': 10}
1688966841 1220291284 {'positive': 1, 'negative': 0, 'total': 31}
1688982433 1220291284 {'positive': 1, 'negative': 0, 'total': 15}
1688983881 1220291284 {'positive': 1, 'negative': 0, 'total': 4}
1688983402 1220291284 {'positive': 0, 'negative': 1, 'total': 12}
1689016520 1220291284 {'positive': 1, 'negative': 0, 'total': 20}
1689026563 1220291284 {'positive': 1, 'negative': 1, 'total': 34}
1689029101 1220291284 {'positive': 1, 'negative': 1, 'total': 32}
1689051633 1220291284 {'positive': 1, 'negative': 0, 'total': 30}
1689112367 1220291284 {'positive': 1, 'negative': 0, 'total': 15}
1689143114 1220291284 {'positive': 0, 'negative': 1, 'total': 17}
1690612703 1220291284 {'positive': 1, 'negative': 0, 'total': 2}
1690620440 1220291284 {'positive': 0, 'negative': 1, 'total': 39}
1690614791 1220291284 {'positive': 1, 'negative': 0, 'total': 8}
1690702017 1220291284 {'positive': 2, 'negative': 0, 'total': 11}
1690691510 1220291284 {'positive': 1, 'negative': 0, 'total': 25}
1690692972 1220291284 {'positive': 0, 'negative': 1, 'total': 53}
1690708594 1220291284 {'positive': 0, 'negative': 1, 'total': 22}
1690737622 1220291284 {'positive': 1, 'negative': 0, 'total': 3}
1690818301 1220291284 {'positive': 1, 'negative': 0, 'total': 12}
1690886970 1220291284 {'positive': 1, 'negative': 0, 'total': 17}
1690911754 1220291284 {'positive': 1, 'negative': 0, 'total': 22}
1690978437 1220291284 {'positive': 1, 'negative': 0, 'total': 9}
1690980825 1220291284 {'positive': 0, 'negative': 1, 'total': 23}
1690994111 1220291284 {'positive': 0, 'negative': 1, 'total': 18}
1692730730 1220291284 {'positive': 1, 'negative': 0, 'total': 37}
1692743147 1220291284 {'positive': 1, 'negative': 0, 'total': 16}
1692770495 1220291284 {'positive': 1, 'negative': 0, 'total': 24}
1692801297 1220291284 {'positive': 1, 'negative': 0, 'total': 10}
1692826700 1220291284 {'positive': 0, 'negative': 1, 'total': 5}
1692867285 1220291284 {'positive': 1, 'negative': 0, 'total': 3}
1692878702 1220291284 {'positive': 0, 'negative': 1, 'total': 7}
1688995410 1220291284 {'positive': 1, 'negative': 0, 'total': 14}
1689174367 1220291284 {'positive': 1, 'negative': 0, 'total': 23}
1689176211 1220291284 {'positive': 1, 'negative': 0, 'total': 17}
1690636193 1220291284 {'positive': 0, 'negative': 1, 'total': 9}
1689121402 1220291284 {'positive': 1, 'negative': 0, 'total': 13}
1642361971 1649155730 {'positive': 1, 'negative': 0, 'total': 5}
1642394580 1649155730 {'positive': 1, 'negative': 0, 'total': 1}
1642546130 1649155730 {'positive': 0, 'negative': 1, 'total': 1}
1642630014 1649155730 {'positive': 0, 'negative': 1, 'total': 1}
1648782540 1649155730 {'positive': 0, 'negative': 1, 'total': 17}
1807998083 1649155730 {'positive': 1, 'negative': 0, 'total': 38}
1654767921 1649155730 {'positive': 1, 'negative': 0, 'total': 58}
1654796367 1649155730 {'positive': 0, 'negative': 1, 'total': 60}
1654821835 1649155730 {'positive': 1, 'negative': 0, 'total': 40}
1654837130 1649155730 {'positive': 1, 'negative': 0, 'total': 53}
1819050845 1649155730 {'positive': 0, 'negative': 1, 'total': 91}
1819972655 1649155730 {'positive': 1, 'negative': 0, 'total': 52}
1819097882 1649155730 {'positive': 1, 'negative': 0, 'total': 21}
1654690732 1649155730 {'positive': 0, 'negative': 1, 'total': 23}
1654804523 1649155730 {'positive': 1, 'negative': 0, 'total': 53}
1690978760 1649155730 {'positive': 1, 'negative': 0, 'total': 19}
1642503144 1651428902 {'positive': 1, 'negative': 0, 'total': 1}
1646541955 1651428902 {'positive': 0, 'negative': 1, 'total': 4}
1648490565 1651428902 {'positive': 1, 'negative': 0, 'total': 13}
1807940550 1651428902 {'positive': 1, 'negative': 0, 'total': 15}
1808018542 1651428902 {'positive': 1, 'negative': 0, 'total': 20}
1654866085 1651428902 {'positive': 1, 'negative': 0, 'total': 70}
1654754317 1651428902 {'positive': 1, 'negative': 0, 'total': 45}
1654689255 1651428902 {'positive': 1, 'negative': 0, 'total': 111}
1819891703 1651428902 {'positive': 1, 'negative': 0, 'total': 45}
1819935634 1651428902 {'positive': 0, 'negative': 1, 'total': 55}
1819978401 1651428902 {'positive': 1, 'negative': 0, 'total': 8}
1690745400 1651428902 {'positive': 0, 'negative': 1, 'total': 10}
1692750703 1651428902 {'positive': 1, 'negative': 0, 'total': 17}
1642628452 1215031834 {'positive': 0, 'negative': 1, 'total': 3}
1642821362 1215031834 {'positive': 0, 'negative': 1, 'total': 1}
1646544727 1215031834 {'positive': 1, 'negative': 0, 'total': 1}
1648592995 1215031834 {'positive': 0, 'negative': 1, 'total': 26}
1808071744 1215031834 {'positive': 1, 'negative': 0, 'total': 18}
1808043911 1215031834 {'positive': 1, 'negative': 1, 'total': 32}
1648726031 1215031834 {'positive': 0, 'negative': 1, 'total': 13}
1648716993 1215031834 {'positive': 1, 'negative': 0, 'total': 20}
1654717777 1215031834 {'positive': 0, 'negative': 1, 'total': 112}
1654732977 1215031834 {'positive': 1, 'negative': 0, 'total': 29}
1820054704 1215031834 {'positive': 3, 'negative': 1, 'total': 121}
1654853147 1215031834 {'positive': 1, 'negative': 0, 'total': 53}
1654795904 1215031834 {'positive': 0, 'negative': 1, 'total': 92}
1819975811 1215031834 {'positive': 0, 'negative': 2, 'total': 106}
1654732361 1215031834 {'positive': 1, 'negative': 0, 'total': 70}
1819125517 1215031834 {'positive': 0, 'negative': 1, 'total': 85}
1654870510 1215031834 {'positive': 0, 'negative': 1, 'total': 46}
1654671683 1215031834 {'positive': 0, 'negative': 1, 'total': 64}
1819936145 1215031834 {'positive': 1, 'negative': 0, 'total': 18}
1654797385 1215031834 {'positive': 1, 'negative': 0, 'total': 64}
1654796774 1215031834 {'positive': 0, 'negative': 1, 'total': 71}
1819935102 1215031834 {'positive': 1, 'negative': 0, 'total': 42}
1654872754 1215031834 {'positive': 1, 'negative': 0, 'total': 80}
1819954871 1215031834 {'positive': 1, 'negative': 0, 'total': 78}
1654653637 1215031834 {'positive': 0, 'negative': 1, 'total': 66}
1819907282 1215031834 {'positive': 0, 'negative': 1, 'total': 33}
1654767921 1215031834 {'positive': 1, 'negative': 0, 'total': 58}
1690613612 1215031834 {'positive': 1, 'negative': 0, 'total': 33}
1690741403 1215031834 {'positive': 1, 'negative': 0, 'total': 29}
1690992305 1215031834 {'positive': 0, 'negative': 1, 'total': 22}
1689121402 1215031834 {'positive': 0, 'negative': 1, 'total': 13}
1689160445 1215031834 {'positive': 1, 'negative': 0, 'total': 26}
1690899507 1215031834 {'positive': 1, 'negative': 0, 'total': 34}
1642394302 1893801487 {'positive': 1, 'negative': 0, 'total': 1}
1642476502 1893801487 {'positive': 1, 'negative': 0, 'total': 1}
1642586494 1893801487 {'positive': 1, 'negative': 0, 'total': 4}
1642570570 1893801487 {'positive': 0, 'negative': 1, 'total': 2}
1808798324 1893801487 {'positive': 1, 'negative': 0, 'total': 13}
1808054662 1893801487 {'positive': 0, 'negative': 1, 'total': 28}
1648629364 1893801487 {'positive': 1, 'negative': 0, 'total': 9}
1648525852 1893801487 {'positive': 1, 'negative': 0, 'total': 29}
1648605393 1893801487 {'positive': 1, 'negative': 0, 'total': 26}
1648467065 1893801487 {'positive': 1, 'negative': 0, 'total': 23}
1648427641 1893801487 {'positive': 1, 'negative': 0, 'total': 18}
1648650097 1893801487 {'positive': 1, 'negative': 0, 'total': 27}
1648496407 1893801487 {'positive': 1, 'negative': 1, 'total': 26}
1648632845 1893801487 {'positive': 1, 'negative': 0, 'total': 25}
1648771961 1893801487 {'positive': 1, 'negative': 0, 'total': 22}
1648607487 1893801487 {'positive': 0, 'negative': 1, 'total': 17}
1648608662 1893801487 {'positive': 0, 'negative': 1, 'total': 6}
1807958231 1893801487 {'positive': 1, 'negative': 0, 'total': 22}
1648600044 1893801487 {'positive': 1, 'negative': 0, 'total': 9}
1654670710 1893801487 {'positive': 1, 'negative': 1, 'total': 52}
1654777503 1893801487 {'positive': 1, 'negative': 0, 'total': 99}
1654667045 1893801487 {'positive': 3, 'negative': 0, 'total': 126}
1819967717 1893801487 {'positive': 0, 'negative': 1, 'total': 42}
1654680417 1893801487 {'positive': 1, 'negative': 0, 'total': 164}
1654676623 1893801487 {'positive': 2, 'negative': 0, 'total': 316}
1654686373 1893801487 {'positive': 1, 'negative': 1, 'total': 115}
1654856152 1893801487 {'positive': 1, 'negative': 0, 'total': 67}
1654646732 1893801487 {'positive': 1, 'negative': 0, 'total': 49}
1819896475 1893801487 {'positive': 0, 'negative': 1, 'total': 92}
1819949473 1893801487 {'positive': 1, 'negative': 0, 'total': 12}
1820023830 1893801487 {'positive': 1, 'negative': 0, 'total': 109}
1819894847 1893801487 {'positive': 1, 'negative': 1, 'total': 54}
1654795904 1893801487 {'positive': 1, 'negative': 0, 'total': 92}
1654742490 1893801487 {'positive': 0, 'negative': 1, 'total': 46}
1654696847 1893801487 {'positive': 1, 'negative': 0, 'total': 46}
1654822265 1893801487 {'positive': 1, 'negative': 0, 'total': 59}
1819125517 1893801487 {'positive': 1, 'negative': 0, 'total': 85}
1819887711 1893801487 {'positive': 1, 'negative': 0, 'total': 48}
1654725695 1893801487 {'positive': 1, 'negative': 0, 'total': 99}
1820039743 1893801487 {'positive': 0, 'negative': 1, 'total': 58}
1820023935 1893801487 {'positive': 0, 'negative': 1, 'total': 47}
1654872754 1893801487 {'positive': 1, 'negative': 0, 'total': 80}
1654864784 1893801487 {'positive': 0, 'negative': 1, 'total': 73}
1819047075 1893801487 {'positive': 2, 'negative': 0, 'total': 85}
1654764185 1893801487 {'positive': 1, 'negative': 0, 'total': 91}
